,presicion,recall,f1
tau:1.10-gamma:0.01-C:0.30,0.2901505859355901,0.8872370319738742,0.43629412668989637
tau:1.10-gamma:0.01-C:0.40,0.2909405039397163,0.9111604769499507,0.43993501176054123
tau:1.10-gamma:0.01-C:0.50,0.29757804022509904,0.9266727424622161,0.44918275886835723
tau:1.10-gamma:0.01-C:0.60,0.3044469588312872,0.9266727424622161,0.45698687777322244
tau:1.10-gamma:0.01-C:0.70,0.31008282300718276,0.9266727424622161,0.46354324633516913
tau:1.10-gamma:0.01-C:0.80,0.3165685490335349,0.9418242576137313,0.47284130353125553
tau:1.10-gamma:0.01-C:0.90,0.32041642074561266,0.9418242576137313,0.47722168361613476
tau:1.10-gamma:0.01-C:1.00,0.3215212485267331,0.9418242576137313,0.47838031913309137
tau:1.10-gamma:0.05-C:0.30,0.32375502551936847,0.9418242576137313,0.48070058680472644
tau:1.10-gamma:0.05-C:0.40,0.3298824146897884,0.9418242576137313,0.4874736620846058
tau:1.10-gamma:0.05-C:0.50,0.33360280084663385,0.9418242576137313,0.491506771402268
tau:1.10-gamma:0.05-C:0.60,0.3306609093497697,0.9661084529505581,0.49174325766365573
tau:1.10-gamma:0.05-C:0.70,0.33554180039479564,0.9661084529505581,0.4972876917321362
tau:1.10-gamma:0.05-C:0.80,0.33619831987800536,0.9661084529505581,0.49811229396521783
tau:1.10-gamma:0.05-C:0.90,0.338454346750339,0.9661084529505581,0.5007105047269564
tau:1.10-gamma:0.05-C:1.00,0.336696065128901,0.9661084529505581,0.49901141213269057
tau:1.10-gamma:0.10-C:0.30,0.3282454504125717,0.9585326953748007,0.4880802540006521
tau:1.10-gamma:0.10-C:0.40,0.33556416710523274,0.9661084529505581,0.4973346915615992
tau:1.10-gamma:0.10-C:0.50,0.336696065128901,0.9661084529505581,0.49901141213269057
tau:1.10-gamma:0.10-C:0.60,0.3390169201294753,0.9661084529505581,0.50166678971242
tau:1.10-gamma:0.10-C:0.70,0.35056290151046277,0.9661084529505581,0.5142791184626884
tau:1.10-gamma:0.10-C:0.80,0.3598924080438049,0.9661084529505581,0.5242340296343023
tau:1.10-gamma:0.10-C:0.90,0.36620644426352916,0.9661084529505581,0.530905127310356
tau:1.10-gamma:0.10-C:1.00,0.3736785211378457,0.9748803827751197,0.540125235743778
tau:1.10-gamma:0.15-C:0.30,0.3370031194097583,0.9661084529505581,0.4990278162290547
tau:1.10-gamma:0.15-C:0.40,0.33413186265821104,0.9573365231259968,0.4951499435331264
tau:1.10-gamma:0.15-C:0.50,0.3549354540047904,0.9661084529505581,0.5189393296728511
tau:1.10-gamma:0.15-C:0.60,0.36620644426352916,0.9661084529505581,0.530905127310356
tau:1.10-gamma:0.15-C:0.70,0.3761612566562955,0.9748803827751197,0.5426808451913979
tau:1.10-gamma:0.15-C:0.80,0.38604610685664564,0.967304625199362,0.5517352340859804
tau:1.10-gamma:0.15-C:0.90,0.3957316174803935,0.967304625199362,0.5613139155409378
tau:1.10-gamma:0.15-C:1.00,0.3983803906648809,0.9685007974481659,0.5641384581979747
tau:1.10-gamma:0.20-C:0.30,0.33617745003401467,0.9661084529505581,0.49853544691862983
tau:1.10-gamma:0.20-C:0.40,0.3548444096763108,0.9661084529505581,0.5188737961027513
tau:1.10-gamma:0.20-C:0.50,0.3684690587886077,0.9748803827751197,0.5345444840991651
tau:1.10-gamma:0.20-C:0.60,0.383769960181338,0.967304625199362,0.5493597657486547
tau:1.10-gamma:0.20-C:0.70,0.3991512505327759,0.9760765550239233,0.5662333564919855
tau:1.10-gamma:0.20-C:0.80,0.4059922995185061,0.9609250398724084,0.5702392357997653
tau:1.10-gamma:0.20-C:0.90,0.428097026025656,0.9609250398724084,0.5916540975364505
tau:1.10-gamma:0.20-C:1.00,0.44397481805961164,0.9529885319359003,0.6049308113056031
tau:1.10-gamma:0.25-C:0.30,0.34429446887074006,0.9661084529505581,0.5075519307403529
tau:1.10-gamma:0.25-C:0.40,0.3652858263844904,0.9748803827751197,0.5311639916163371
tau:1.10-gamma:0.25-C:0.50,0.38497944252289584,0.967304625199362,0.5505609669498559
tau:1.10-gamma:0.25-C:0.60,0.4020533701729616,0.9760765550239233,0.5690980452672835
tau:1.10-gamma:0.25-C:0.70,0.4170309714750135,0.9609250398724084,0.5810343995142376
tau:1.10-gamma:0.25-C:0.80,0.43939776929138635,0.9529885319359003,0.6006148997930872
tau:1.10-gamma:0.25-C:0.90,0.45847271715010124,0.944216602111339,0.6160956260577325
tau:1.10-gamma:0.25-C:1.00,0.46967829992349713,0.9354446722867776,0.623179942415098
tau:1.10-gamma:0.30-C:0.30,0.3567697819653248,0.9748803827751197,0.5222155151565446
tau:1.10-gamma:0.30-C:0.40,0.3796778535636318,0.9748803827751197,0.5463637815335923
tau:1.10-gamma:0.30-C:0.50,0.39959747553440444,0.9760765550239233,0.566639563790248
tau:1.10-gamma:0.30-C:0.60,0.4170309714750135,0.9609250398724084,0.5810343995142376
tau:1.10-gamma:0.30-C:0.70,0.4469093251957994,0.9529885319359003,0.6077605752775627
tau:1.10-gamma:0.30-C:0.80,0.46221656522961957,0.9354446722867776,0.6171692752374288
tau:1.10-gamma:0.30-C:0.90,0.4713035954317713,0.9354446722867776,0.6246982308899082
tau:1.10-gamma:0.30-C:1.00,0.48121532492632896,0.9202931571352625,0.6302764311980901
tau:1.10-gamma:0.40-C:0.30,0.3687952486190575,0.9748803827751197,0.5349300472327793
tau:1.10-gamma:0.40-C:0.40,0.4020216908345595,0.9760765550239233,0.5691465982762559
tau:1.10-gamma:0.40-C:0.50,0.42675202745535223,0.9529885319359003,0.5890594489148153
tau:1.10-gamma:0.40-C:0.60,0.46095908797480184,0.944216602111339,0.6182214909955269
tau:1.10-gamma:0.40-C:0.70,0.4699181300177988,0.9354446722867776,0.623971767909158
tau:1.10-gamma:0.40-C:0.80,0.4828988266098306,0.9202931571352625,0.6318304327520917
tau:1.10-gamma:0.40-C:0.90,0.48988360176611206,0.9202931571352625,0.6372863247863249
tau:1.10-gamma:0.40-C:1.00,0.4914335030413619,0.9047808916229969,0.635082284711522
tau:1.10-gamma:0.50-C:0.30,0.38807119780803995,0.9760765550239233,0.5549452031584922
tau:1.10-gamma:0.50-C:0.40,0.42116800865189474,0.9529885319359003,0.5836314547225191
tau:1.10-gamma:0.50-C:0.50,0.46251804489090165,0.944216602111339,0.6196970107809058
