,presicion,recall,f1
tau:1.00-gamma:0.01-C:0.30-bound:0.50,0.5950956937799042,0.4666301788727418,0.5158791682047495
tau:1.00-gamma:0.01-C:0.30-bound:0.30,0.4746647136645212,0.6718319183994241,0.5536516493389808
tau:1.00-gamma:0.01-C:0.30-bound:0.10,0.3625734597872389,0.8142391552002536,0.49999389063799365
tau:1.00-gamma:0.01-C:0.30-bound:0.05,0.31296645409548635,0.8712187253377186,0.459205632544617
tau:1.00-gamma:0.01-C:0.30-bound:0.03,0.27662341773083693,0.9266727424622161,0.42486698344481094
tau:1.00-gamma:0.01-C:0.30-bound:0.01,0.19617342167919427,0.9581719450140502,0.32475782043229207
tau:1.00-gamma:0.01-C:0.50-bound:0.50,0.617600004428649,0.48112293249593024,0.5333962333962334
tau:1.00-gamma:0.01-C:0.50-bound:0.30,0.4936042473633053,0.7036918713120085,0.5771132527084908
tau:1.00-gamma:0.01-C:0.50-bound:0.10,0.36373437882871845,0.8142391552002536,0.5011643647276315
tau:1.00-gamma:0.01-C:0.50-bound:0.05,0.3207671962057527,0.8784651021493128,0.46903711038730317
tau:1.00-gamma:0.01-C:0.50-bound:0.03,0.2856189756938076,0.9266727424622161,0.4352206953059368
tau:1.00-gamma:0.01-C:0.50-bound:0.01,0.20946194217684075,0.9581719450140502,0.34270422531496725
tau:1.00-gamma:0.01-C:0.70-bound:0.50,0.6106150793650794,0.4983374113808896,0.5428445581444358
tau:1.00-gamma:0.01-C:0.70-bound:0.30,0.5122560732775786,0.7272859355239217,0.5984042161313735
tau:1.00-gamma:0.01-C:0.70-bound:0.10,0.3630614999036051,0.8142391552002536,0.5001518480749099
tau:1.00-gamma:0.01-C:0.70-bound:0.05,0.3286964466361037,0.8784651021493128,0.4773819521058675
tau:1.00-gamma:0.01-C:0.70-bound:0.03,0.3037055211156536,0.9418242576137313,0.45815530550466455
tau:1.00-gamma:0.01-C:0.70-bound:0.01,0.21719067486611343,0.9581719450140502,0.3531011692860974
