,presicion,recall,f1
tau:1.00-gamma:0.01-C:0.30-bound:0.50,0.557936507936508,0.3482916778111285,0.4149233410622033
tau:1.00-gamma:0.01-C:0.30-bound:0.30,0.4647378957905273,0.7021663182990414,0.5566118687224693
tau:1.00-gamma:0.01-C:0.30-bound:0.10,0.3413786792886073,0.8632822174012106,0.48797252430622207
tau:1.00-gamma:0.01-C:0.30-bound:0.05,0.2916108888672541,0.9194263656506219,0.4414536277079173
tau:1.00-gamma:0.01-C:0.30-bound:0.03,0.25878000103646986,0.9418242576137313,0.40471785035619084
tau:1.00-gamma:0.01-C:0.30-bound:0.01,0.19789289678413194,0.9661084529505581,0.32743680753850213
tau:1.00-gamma:0.01-C:0.50-bound:0.50,0.6183857205596336,0.489742141916055,0.5327748853164455
tau:1.00-gamma:0.01-C:0.50-bound:0.30,0.4702096780741282,0.6642561608236665,0.5473438538864613
tau:1.00-gamma:0.01-C:0.50-bound:0.10,0.3575792312909496,0.8720541472257719,0.5057924606389458
tau:1.00-gamma:0.01-C:0.50-bound:0.05,0.314416590734275,0.9418242576137313,0.4703594181591375
tau:1.00-gamma:0.01-C:0.50-bound:0.03,0.2745652988242038,0.9418242576137313,0.42419633647443705
tau:1.00-gamma:0.01-C:0.50-bound:0.01,0.21187429636471647,0.9912280701754387,0.34837250061751995
tau:1.00-gamma:0.01-C:0.70-bound:0.50,0.6169979143663354,0.473394454515736,0.520615979585295
tau:1.00-gamma:0.01-C:0.70-bound:0.30,0.51523385339799,0.648743895311401,0.5700682237631923
tau:1.00-gamma:0.01-C:0.70-bound:0.10,0.3638000572187454,0.8799906551622799,0.5137955673584702
tau:1.00-gamma:0.01-C:0.70-bound:0.05,0.3193973626755751,0.9418242576137313,0.47615243074830355
tau:1.00-gamma:0.01-C:0.70-bound:0.03,0.28643406143169886,0.9573365231259968,0.4401297121568395
tau:1.00-gamma:0.01-C:0.70-bound:0.01,0.22618586996769774,0.9912280701754387,0.3675105760499661
tau:1.00-gamma:0.01-C:0.80-bound:0.50,0.6280952711158662,0.48133096245224394,0.5338712279211886
tau:1.00-gamma:0.01-C:0.80-bound:0.30,0.5233044733044733,0.64033271584759,0.571056895807045
tau:1.00-gamma:0.01-C:0.80-bound:0.10,0.3695137093946617,0.8875664127380375,0.5207361172635578
tau:1.00-gamma:0.01-C:0.80-bound:0.05,0.32068130477997653,0.9421850079744818,0.4774031791200917
tau:1.00-gamma:0.01-C:0.80-bound:0.03,0.2916405142330016,0.9573365231259968,0.44639165445679213
tau:1.00-gamma:0.01-C:0.80-bound:0.01,0.23294597256675909,1.0,0.37704544505029425
tau:1.00-gamma:0.01-C:1.00-bound:0.50,0.6422115895800107,0.49010289227680537,0.5439789493914934
tau:1.00-gamma:0.01-C:1.00-bound:0.30,0.5254584017515053,0.6327569582718324,0.5692624876037371
tau:1.00-gamma:0.01-C:1.00-bound:0.10,0.36817515451044436,0.895173539910382,0.5206455831303747
tau:1.00-gamma:0.01-C:1.00-bound:0.05,0.31619982089908216,0.9421850079744818,0.47276034350835094
tau:1.00-gamma:0.01-C:1.00-bound:0.03,0.30287448692621105,0.983652312599681,0.4624838431260432
tau:1.00-gamma:0.01-C:1.00-bound:0.01,0.23904738212509313,1.0,0.3849956357252899
tau:1.00-gamma:0.01-C:2.00-bound:0.50,0.657128002716238,0.47495137712529023,0.5395966488708425
tau:1.00-gamma:0.01-C:2.00-bound:0.30,0.5710413311862588,0.6260166225841283,0.5921484661517884
tau:1.00-gamma:0.01-C:2.00-bound:0.10,0.39655666468907885,0.9094896331738438,0.5509088831743294
tau:1.00-gamma:0.01-C:2.00-bound:0.05,0.33135932667325857,0.9760765550239233,0.49433048843841837
tau:1.00-gamma:0.01-C:2.00-bound:0.03,0.31144622767757096,0.9924242424242425,0.47326936346386067
tau:1.00-gamma:0.01-C:2.00-bound:0.01,0.2548682703321879,1.0,0.40528180453829005
tau:1.00-gamma:0.05-C:0.30-bound:0.50,0.6401804082010032,0.4825271347010478,0.5381003470696625
tau:1.00-gamma:0.05-C:0.30-bound:0.30,0.5452177166763422,0.6411681377356434,0.5858659295264644
tau:1.00-gamma:0.05-C:0.30-bound:0.10,0.3841991341991342,0.9182615629984051,0.5405981182081269
tau:1.00-gamma:0.05-C:0.30-bound:0.05,0.32445990918378076,0.967304625199362,0.48536301008508675
tau:1.00-gamma:0.05-C:0.30-bound:0.03,0.30681426054560385,0.9924242424242425,0.46795026647640664
tau:1.00-gamma:0.05-C:0.30-bound:0.01,0.2510668762572884,1.0,0.40047081459831196
tau:1.00-gamma:0.05-C:0.50-bound:0.50,0.6679088884971239,0.484052687714015,0.5523047214223685
tau:1.00-gamma:0.05-C:0.50-bound:0.30,0.5714381565830842,0.6335923801598858,0.5967996289424861
tau:1.00-gamma:0.05-C:0.50-bound:0.10,0.39238673433269877,0.9094896331738438,0.5469730766997418
tau:1.00-gamma:0.05-C:0.50-bound:0.05,0.33942344541929675,0.9848484848484849,0.504363220608176
tau:1.00-gamma:0.05-C:0.50-bound:0.03,0.31183401762015545,0.9924242424242425,0.47379453098762564
tau:1.00-gamma:0.05-C:0.50-bound:0.01,0.2609139730354253,1.0,0.413004049261159
tau:1.00-gamma:0.05-C:0.70-bound:0.50,0.6657443863326217,0.49282461753857637,0.5556393497569969
tau:1.00-gamma:0.05-C:0.70-bound:0.30,0.5751533173157887,0.6263460033482917,0.5957764260270005
tau:1.00-gamma:0.05-C:0.70-bound:0.10,0.40168473501806834,0.9094896331738438,0.5562270172760702
tau:1.00-gamma:0.05-C:0.70-bound:0.05,0.349664798364566,0.9848484848484849,0.5156732902593593
tau:1.00-gamma:0.05-C:0.70-bound:0.03,0.3180727147988258,0.9924242424242425,0.4809860859044162
tau:1.00-gamma:0.05-C:0.70-bound:0.01,0.2649497907144948,1.0,0.41800292099565217
tau:1.00-gamma:0.05-C:0.80-bound:0.50,0.6657443863326217,0.49282461753857637,0.5556393497569969
tau:1.00-gamma:0.05-C:0.80-bound:0.30,0.5616062098820719,0.6271814252363451,0.5884011952294625
tau:1.00-gamma:0.05-C:0.80-bound:0.10,0.40242446514609637,0.9019138755980863,0.5555261394003788
tau:1.00-gamma:0.05-C:0.80-bound:0.05,0.3526511665413096,0.9848484848484849,0.5188751940005795
tau:1.00-gamma:0.05-C:0.80-bound:0.03,0.31782206813509367,0.9924242424242425,0.48080488207158173
tau:1.00-gamma:0.05-C:0.80-bound:0.01,0.26789639193353443,1.0,0.42179160496780527
tau:1.00-gamma:0.05-C:1.00-bound:0.50,0.6463779276279277,0.4852488599628188,0.5450603819411869
tau:1.00-gamma:0.05-C:1.00-bound:0.30,0.5742286751361161,0.6268520444721818,0.5945497711279634
tau:1.00-gamma:0.05-C:1.00-bound:0.10,0.4088615859449192,0.919457735247209,0.5646106561338865
