,presicion,recall,f1
tau:1.00-C:0.30,0.5679576210826212,0.8130949904405281,0.6660618715240564
tau:1.00-C:0.50,0.583419249758874,0.8203413672521224,0.6789804282786739
tau:1.00-C:0.70,0.5983274707412639,0.8203413672521224,0.6873932130387135
tau:1.00-C:0.80,0.6003890561361825,0.8203413672521224,0.6881384202124922
tau:1.00-C:1.00,0.6017026850360184,0.805848613628934,0.6841088209119567
tau:1.00-C:2.00,0.5726112667289138,0.7891401758678646,0.6609677030546525
tau:1.20-C:0.30,0.5612457248545958,0.8130949904405281,0.6617230387485659
tau:1.20-C:0.50,0.5808982413555127,0.8203413672521224,0.6771655462460061
tau:1.20-C:0.70,0.5850994075132007,0.8203413672521224,0.6785557409869556
tau:1.20-C:0.80,0.6003890561361825,0.8203413672521224,0.6881384202124922
tau:1.20-C:1.00,0.591438438852232,0.8130949904405281,0.6798062597621052
tau:1.20-C:2.00,0.5703703703703704,0.7891401758678646,0.6591042043358079
tau:1.40-C:0.30,0.5612457248545958,0.8130949904405281,0.6617230387485659
tau:1.40-C:0.50,0.5738186462324393,0.8203413672521224,0.6723044584391817
tau:1.40-C:0.70,0.5827184551322483,0.8203413672521224,0.676802380379124
tau:1.40-C:0.80,0.5980081037552302,0.8203413672521224,0.6863850596046605
tau:1.40-C:1.00,0.5880058854196785,0.8203413672521224,0.6799792599966817
tau:1.40-C:2.00,0.5703703703703704,0.7891401758678646,0.6591042043358079
tau:1.60-C:0.30,0.5554838263125249,0.8130949904405281,0.6579224275950136
tau:1.60-C:0.50,0.5714376938514869,0.8203413672521224,0.6705510978313501
tau:1.60-C:0.70,0.5827184551322483,0.8203413672521224,0.676802380379124
tau:1.60-C:0.80,0.5902581376719308,0.8203413672521224,0.6816741752509189
tau:1.60-C:1.00,0.5880058854196785,0.8203413672521224,0.6799792599966817
tau:1.60-C:2.00,0.5668810436051815,0.7891401758678646,0.6567912791657399
tau:1.80-C:0.30,0.557860534571586,0.8203413672521224,0.6619951092992743
tau:1.80-C:0.50,0.5693105667243598,0.8203413672521224,0.6687112709915234
tau:1.80-C:0.70,0.5759633009633011,0.8203413672521224,0.6724086228761229
tau:1.80-C:0.80,0.5835029835029836,0.8203413672521224,0.6772804177479177
tau:1.80-C:1.00,0.5824238968975811,0.8203413672521224,0.6759869745579158
tau:1.80-C:2.00,0.5636243386243387,0.7891401758678646,0.6545690569435175
