,peak_0-1,peak_0-2,peak_0-3,peak_1-2,peak_1-3,peak_2-3,cov_0,cov_1,cov_2,cov_3,rasterfile
mGE82-O10C2-Standard-03,9.151436789054866,5.027300636931631,5.027346418360192,4.124136152123236,4.124090370694675,4.57814285610425e-05,9.608251220173225,2.000391673538441,0.01002654487996846,0.010024951261271939,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_03.png
mGE82-O10C2-Standard-04,13.20998945930607,6.915455378091879,9.394715867734668,6.2945340812141914,3.8152735915714033,2.4792604896427877,6.914370508053444,3.8818154429547613,0.5092122447044845,0.03894077779327445,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_04.png
mGE82-O10C2-Standard-05,4.657975596604574,8.246361509202677,9.81625192251758,3.5883859125981026,5.158276325913006,1.5698904133149032,6.268283702203855,1.1156098600445992,0.0721659171042809,1.945131936039291,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_05.png
mGE82-O10C2-Standard-06,3.586196852499837,4.4146262426738705,4.229095860700054,0.8284293901740334,0.6428990082002173,0.1855303819738161,2.242279516701761,3.1791658055105256,3.4690128942525793,3.346356381587596,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_06.png
mGE82-O10C2-Standard-07,3.7594166875599697,8.72724817016909,2.650604162085653,12.48666485772906,6.410020849645623,6.076644008083439,2.32088568518916,2.285193516830166,7.020643417604982,1.8500564990488944,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_07.png
mGE82-O10C2-Standard-08,4.594839454851746,14.063862866627264,8.497015703302445,9.469023411775517,3.902176248450699,5.566847163324819,1.7481670167413472,3.9932954844577333,6.22662640987161,0.8161072496854607,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_08.png
mGE82-O10C2-Standard-09,6.651729445332723,14.533908773714096,9.627807376702465,7.8821793283813735,2.9760779313697423,4.906101397011631,3.139989968775615,4.277672830189285,4.196061342663337,0.009960524193575154,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_09.png
mGE82-O10C2-Standard-10,7.258634209971067,7.21072544906768,7.210724580647854,0.04790876090338703,0.047909629323212855,8.684198258279707e-07,14.660039670080263,0.009978810481037962,0.010000003908789586,0.010000000000191663,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_10.png
mGE82-O10C2-Standard-11,10.125153156949343,7.103049294753902,7.103049493332648,3.0221038621954417,3.0221036636166954,1.985787463354427e-07,7.849447657657234,2.9139644508537303,0.009999937467031489,0.009999999997175652,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_11.png
mGE82-O10C2-Standard-27,12.009784404106165,4.314054890241337,8.507676288970654,7.695729513864828,3.502108115135511,4.193621398729317,7.244920507090813,3.2207176081204243,0.9878283248871293,0.291823915476634,/media/loaloa/Samsung_T5/output_lowthr/MUA_output_lowthr/mGE82_24.07.2019_O10C2.mcd/Raster_NegativeSpikes_Triggers_Standard_ElectrodeChannel_27.png
